
Dataset	| Particles|	Weighted Average	|	Average	|	Highest
1		250	0.165, 0.176		0.197, 0.192	0.17, 0.172
		500	0.137, 0.098		0.152, 0.113	0.139, 0.088
		750	0.129, 0.081		0.134, 0.092	0.135, 0.08
		1000	0.14, 0.083		0.154, 0,094	0.139, 0.08
		2000	0.127, 0.083		0.13, 0.095	0.135, 0.081
		3000	0.134, 0.083		0.142, 0.094	0.136, 0.08
		4000	0.134, 0.083,		0.143, 0.094	0.135, 0.08
		5000	0.131, 0.084		0.137, 0.095	0.134, 0.079
2		250	0.117, 0.113		0.137, 0.132	0,127, 0.104
		500	0.116, 0.095		0.13, 0.11	0.129, 0.091
		750	0.116, 0.093		0.134, 0.,11	0.125, 0.085
		1000	0.109, 0.085		0.125, 0.101	0.123, 0.08
		2000	0.111, 0,094		0.125, 0.113	0.124, 0.087
		3000	0.117, 0.84		0.134, 0.099	0.127, 0.079
		4000	0.115, 0.088		0.131, 0.104	0.123, 0.081
		5000	0.112, 0.089		0.128, 0.106	0.121, 0.08
3		250	0.101, 0.12		0.116, 0.132	0.107, 0.119
		500	0.097, 0.099		0.107, 0.11	0.106, 0.096
		750	0.094, 0.092		0.103, 0.103	0.104, 0.092
		1000	0.097, 0.09		0.108, 0.1	0.105, 0.09
		2000	0.096, 0.095		0.104, 0.107	0.104, 0.09
		3000	0.092, 0.092		0.097, 0.104	0.102, 0.091
		4000	0.096, 0.88		0.103, 0.098	0.103, 0.088
		5000	0.093, 0.086		0.099, 0.095	0.102, 0.087
4		250	0.134, 0.136		0.159, 0.154	0.134, 0.131
		500	0.116, 0.119		0.126, 0.14	0.125, 0.11
		750	0.123, 0.102		0.14, 0.119	0.126, 0.097
		1000	0.117, 0.105		0.128, 0.124	0.124, 0.098
		2000	0.116, 0.102		0.125, 0.119	0.125, 0.096
		3000	0.113, 0.1		0.119, 0.118	0.123, 0.092
		4000	0.115, 0.098		0.121, 0.117	0.124, 0.09
		5000	0.116, 0.098		0.123, 0.116	0.123, 0.091
5		250	0.251, 0.14		0.26, 0.139	0.249, 0.146
		500	0.247, 0.132		0.252, 0.129	0.247, 0.144
		750	0.248, 0.135		0.254, 0.132	0.248, 0.147
		1000	0.252, 0.138		0.26, 0.137	0.251, 0.14
		2000	0.251, 0.138		0.256, 0.136	0.25, 0.148
		3000	0.252, 0.136		0.258, 0.134	0.257, 0.15
		4000	0.253, 0.137		0.262, 0.135	0.251, 0.148
		5000	0.249, 0.138		0.255, 0.136	0.25, 0.15
6		250	0.227, 0.124		0.235, 0.127	0.229, 0.128
		500	0.226, 0.122		0.233, 0.125	0.227, 0.125
		750	0.225, 0.119		0.232, 0.12	0.227, 0.124
		1000	0.226, 0.121		0.233, 0.122	0.227, 0,126
		2000	0.225, 0.123		0.232, 0.123	0.226, 0.127
		3000	0.226, 0.12		0.234, 0.121	0.227, 0.126
		4000	0.225, 0.124		0.232, 0.125	0.226, 0.127
		5000	0.225, 0.12		0.231, 0.121	0.226, 0.125
7		250	0.231, 0.121		0.237, 0.12	0.234, 0.13
		500	0.228, 0.128		0.237, 0.13	0.231, 0.129
		750	0.23, 0.124		0.236, 0.128	0.232, 0.129
		1000	0.231, 0.129		0.238, 0.13	0.235, 0.132
		2000	0.23, 0.125		0.239, 0.126	0.236, 0.132
		3000	0.226, 0.126		0.235, 0.128	0.229, 0.129
		4000	0.221, 0.123		0.226, 0.122	0.223, 0.132
		5000	0.226, 0.127		0.236, 0.127	0.228, 0.133
